ParticipantNumber,Id,ParticipantId,OverallTaskThoughts,LLMExperienceDescription,HelpfulUnhelpfulMoments,ConfusingOrUnrealisticTasks,LLMExpectationVariance,SuggestedImprovements,SurprisingLLMBehavior,"FeedbackProcessRating
(1=min, 5=max)","FoundFeedbackRepetitive
(0= no, 1=yes)","FoundFeedbackHelpful
(0=no, 1=yes)",CompletionDate,"SurveyDuration
(not required)",TotalStudyTime,FinalSurveyJSON,AdditionalComments
11,CB7760D3-3C6F-46EE-B67D-86F5399235CD,934A741B-AF2B-442A-91BE-08DDE103FB15,I think the model is trained pretty well but it can be better as compared to chat gpt. The thing which I noticed was its not compatible with interactive communication. Also the question it is asking to gain more information is not kind of relevant,Yes I would say its good.,Yes I felt it helpful to be honest,no I didn't felt anything confusing,Yes It was as I expected. Instead they were far better than I expected because the way it was answering was looking like a pro model.,Proper questions should be asked to gain more information. Also it should be more interactive with basic conversations.,Yes it was positive.,4,0,1,2025-08-21 23:12:48,0,1242,"{""participantId"":""934a741b-af2b-442a-91be-08dde103fb15"",""overallTaskThoughts"":""I think the model is trained pretty well but it can be better as compared to chat gpt. The thing which I noticed was its not compatible with interactive communication. Also the question it is asking to gain more information is not kind of relevant"",""llmExperienceDescription"":""Yes I would say its good. "",""helpfulUnhelpfulMoments"":""Yes I felt it helpful to be honest"",""confusingOrUnrealisticTasks"":""no I didn't felt anything confusing"",""llmExpectationVariance"":""Yes It was as I expected. Instead they were far better than I expected because the way it was answering was looking like a pro model."",""suggestedImprovements"":""Proper questions should be asked to gain more information. Also it should be more interactive with basic conversations."",""surprisingLLMBehavior"":""Yes it was positive."",""feedbackProcessRating"":4,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""1242"",""additionalComments"":""""}",
12,B923D7E1-3792-47FC-A936-241A81D6D80E,33504BD6-F362-4543-F6EC-08DDE23F9EF0,They were engaging.,Quite helpful,It was helpful overall solving tasks.,None of them.,Responses were mostly accurate.,Not as such,Nothing surprising,4,1,1,2025-08-23 12:40:45,0,691,"{""participantId"":""33504bd6-f362-4543-f6ec-08dde23f9ef0"",""overallTaskThoughts"":""They were engaging. "",""llmExperienceDescription"":""Quite helpful "",""helpfulUnhelpfulMoments"":""It was helpful overall solving tasks."",""confusingOrUnrealisticTasks"":""None of them."",""llmExpectationVariance"":""Responses were mostly accurate."",""suggestedImprovements"":""Not as such"",""surprisingLLMBehavior"":""Nothing surprising "",""feedbackProcessRating"":4,""foundFeedbackRepetitive"":true,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""691"",""additionalComments"":""""}",
13,8520C1B3-43C1-431A-A0E6-7C739CF43596,C4FA61BB-9467-4387-4447-08DDE2E0555F,The tasks are of medium complexity,I would describe the LLM assistant as helpful,"yes, for the puzzle",No the tasks did not feel confusing,Yes i was expecting the LLM to achieve these tasks,Performance is very good,the behavior of LLM  is standard,5,0,1,2025-08-24 8:02:01,0,1371,"{""participantId"":""c4fa61bb-9467-4387-4447-08dde2e0555f"",""overallTaskThoughts"":""The tasks are of medium complexity"",""llmExperienceDescription"":""I would describe the LLM assistant as helpful"",""helpfulUnhelpfulMoments"":""yes, for the puzzle"",""confusingOrUnrealisticTasks"":""No the tasks did not feel confusing"",""llmExpectationVariance"":""Yes i was expecting the LLM to achieve these tasks"",""suggestedImprovements"":""Performance is very good"",""surprisingLLMBehavior"":""the behavior of LLM  is standard "",""feedbackProcessRating"":5,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""1371"",""additionalComments"":""""}",
14,EC104235-8942-42E6-A55D-6D3BF1FC50B9,02B62FE9-01D1-443C-4448-08DDE2E0555F,"All of the tasks were interesting and helped me write my prompts affectively. Especially the story telling one, I like the ideas and output for it.","It was engaging and interesting. Not, only it made me feel like I have a digital assistant, but saved my time as well.","Well, in this even though the answers provided were relevant, but, in the creative questions like story telling and the captions, I felt that the tone was still monotonous. So, I feel in those queries, the answers should be more humanized and interactive.","No, none of the task felt unrealistic.","90% Yes, the rest rest 10% I believe that the interation should be more like a human. Particularly I expect LLMs to be more creative and one step ahead from our own thinking.",Here are some suggestions.  1- Tone style ( I prefer the conversation to me more humanized) 2- I want the prompts replies to be more elaborative and give different perspective,"Not at the moment. I didnt feel it. But, for the story part, I fell that it maybe a bit biased towards AI. It was interesting and stange at the same time.",5,1,1,2025-08-24 8:51:30,0,1326,"{""participantId"":""02b62fe9-01d1-443c-4448-08dde2e0555f"",""overallTaskThoughts"":""All of the tasks were interesting and helped me write my prompts affectively. Especially the story telling one, I like the ideas and output for it."",""llmExperienceDescription"":""It was engaging and interesting. Not, only it made me feel like I have a digital assistant, but saved my time as well."",""helpfulUnhelpfulMoments"":""Well, in this even though the answers provided were relevant, but, in the creative questions like story telling and the captions, I felt that the tone was still monotonous. So, I feel in those queries, the answers should be more humanized and interactive."",""confusingOrUnrealisticTasks"":""No, none of the task felt unrealistic."",""llmExpectationVariance"":""90% Yes, the rest rest 10% I believe that the interation should be more like a human. Particularly I expect LLMs to be more creative and one step ahead from our own thinking."",""suggestedImprovements"":""Here are some suggestions. \n1- Tone style ( I prefer the conversation to me more humanized)\n2- I want the prompts replies to be more elaborative and give different perspective \n"",""surprisingLLMBehavior"":""Not at the moment. I didnt feel it. But, for the story part, I fell that it maybe a bit biased towards AI. It was interesting and stange at the same time."",""feedbackProcessRating"":5,""foundFeedbackRepetitive"":true,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""1326"",""additionalComments"":""Taking part in this study, made me relaize the undeniable need of AI in this fast pased life and deadline. Moreover, I'd really like to use this model to explore more of my creative side.""}","Taking part in this study, made me relaize the undeniable need of AI in this fast pased life and deadline. Moreover, I'd really like to use this model to explore more of my creative side."
15,2453E7FE-22FB-4EF1-96DF-24A605ACDBBE,1546EAA6-895C-4F49-4449-08DDE2E0555F,they were quite diverse i think 2 of them i couldn’t do without LIM help. So i find LIM really helpful.,it was nice since i use chatgpt alot i find it quite similer to it. I find it enjoyable as some of it answers were concise and to the point,not really.,nope. Not really i use Al technology alot so it was quite easy to use it to be honest.,not really. Because some of response where different from my perspective which help me think about that question from another direction.,i think there should be an option where i can share pictures and it read the description from there and tell me a little about it.,"yes, i thought that it might not catch what im talking about but it surprisingly gave me positive response that i can actually use.",4,0,1,2025-08-24 9:04:57,0,2363,"{""participantId"":""1546eaa6-895c-4f49-4449-08dde2e0555f"",""overallTaskThoughts"":""they were quite diverse i think 2 of them i couldn’t do without LIM help. So i find LIM really helpful."",""llmExperienceDescription"":""it was nice since i use chatgpt alot i find it quite similer to it. I find it enjoyable as some of it answers were concise and to the point\n"",""helpfulUnhelpfulMoments"":""not really. "",""confusingOrUnrealisticTasks"":""nope. Not really i use Al technology alot so it was quite easy to use it to be honest."",""llmExpectationVariance"":""not really. Because some of response where different from my perspective which help me think about that question from another direction."",""suggestedImprovements"":""i think there should be an option where i can share pictures and it read the description from there and tell me a little about it. "",""surprisingLLMBehavior"":""yes, i thought that it might not catch what im talking about but it surprisingly gave me positive response that i can actually use. "",""feedbackProcessRating"":4,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""2363"",""additionalComments"":""""}",
16,5A12471A-F791-4F90-B3A6-48D3AD79BAD7,0EEFF6CA-9541-46C1-AB0D-08DDE2F7DA60,The tasks were clear and logical.,"It was efficient and intuitive, providing clear answers with accurate explanations.",It was helpful while providing stepwise explanation for recursive solution.,"No, all tasks felt realistic.","Yes, the responses matched my expectations because they were accurate and clear.","I would suggest adding more concise explanations by default, with an option to elaborate explanations and providing multiple solution options.",I was surprising how accuarately and quickly it adapted to different types of questions.,4,0,1,2025-08-24 11:40:52,0,1117,"{""participantId"":""0eeff6ca-9541-46c1-ab0d-08dde2f7da60"",""overallTaskThoughts"":""The tasks were clear and logical. "",""llmExperienceDescription"":""It was efficient and intuitive, providing clear answers with accurate explanations. "",""helpfulUnhelpfulMoments"":""It was helpful while providing stepwise explanation for recursive solution. "",""confusingOrUnrealisticTasks"":""No, all tasks felt realistic. "",""llmExpectationVariance"":""Yes, the responses matched my expectations because they were accurate and clear. "",""suggestedImprovements"":""I would suggest adding more concise explanations by default, with an option to elaborate explanations and providing multiple solution options. "",""surprisingLLMBehavior"":""I was surprising how accuarately and quickly it adapted to different types of questions. "",""feedbackProcessRating"":4,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""1117"",""additionalComments"":""""}",
17,8CE6BC3D-B0C6-4DA0-B840-CECD09CF7712,80DD0C62-4B64-48C3-AB0F-08DDE2F7DA60,"The tasks were thoughtfully designed, effectively organized, and provided a valuable opportunity to apply skills and achieve results.","My experience using the LLM assistant during the study was highly positive and engaging. The guidance and responses were clear, supportive, and tailored to the tasks at hand. Overall, it enhanced both the efficiency and quality of my work throughout the process.","Yes, the LLM was particularly helpful when I needed quick clarification and structured guidance, as it simplified complex information and made tasks more manageable. At times, however, it was less helpful when the responses were too general and required further refinement. Overall, the strengths outweighed the limitations, making it a valuable support tool.","Most tasks were clear and achievable; however, there were moments, such as tasks 7 and 8, when certain instructions felt slightly confusing or open to interpretation. In those cases, the lack of detail made it difficult to know the exact expectations. While not unrealistic, those tasks required additional clarification to ensure alignment with the study’s objectives.","For the most part, the LLM’s responses aligned with my expectations, as they were clear, well-structured, and supportive. At times, the answers exceeded expectations by providing expanded insights or alternative perspectives I hadn’t considered. However, there were a few instances, such as tasks 7 and 8, where the responses felt more general than anticipated, requiring further refinement.","To improve the LLM’s performance and usefulness, I would suggest enhancing the specificity of responses, ensuring greater contextual awareness, and minimizing overly general outputs. Providing more tailored examples and actionable recommendations would also strengthen its practical value. Additionally, improving consistency in tone and depth of detail would create a more seamless and reliable user experience.","Yes, I was positively surprised by how quickly the LLM generated well-structured and coherent responses, often exceeding my expectations in clarity and depth.",5,0,1,2025-08-24 13:02:53,0,360,"{""participantId"":""80dd0c62-4b64-48c3-ab0f-08dde2f7da60"",""overallTaskThoughts"":""The tasks were thoughtfully designed, effectively organized, and provided a valuable opportunity to apply skills and achieve results."",""llmExperienceDescription"":""My experience using the LLM assistant during the study was highly positive and engaging. The guidance and responses were clear, supportive, and tailored to the tasks at hand. Overall, it enhanced both the efficiency and quality of my work throughout the process."",""helpfulUnhelpfulMoments"":""Yes, the LLM was particularly helpful when I needed quick clarification and structured guidance, as it simplified complex information and made tasks more manageable. At times, however, it was less helpful when the responses were too general and required further refinement. Overall, the strengths outweighed the limitations, making it a valuable support tool."",""confusingOrUnrealisticTasks"":""Most tasks were clear and achievable; however, there were moments, such as tasks 7 and 8, when certain instructions felt slightly confusing or open to interpretation. In those cases, the lack of detail made it difficult to know the exact expectations. While not unrealistic, those tasks required additional clarification to ensure alignment with the study’s objectives."",""llmExpectationVariance"":""For the most part, the LLM’s responses aligned with my expectations, as they were clear, well-structured, and supportive. At times, the answers exceeded expectations by providing expanded insights or alternative perspectives I hadn’t considered. However, there were a few instances, such as tasks 7 and 8, where the responses felt more general than anticipated, requiring further refinement."",""suggestedImprovements"":""To improve the LLM’s performance and usefulness, I would suggest enhancing the specificity of responses, ensuring greater contextual awareness, and minimizing overly general outputs. Providing more tailored examples and actionable recommendations would also strengthen its practical value. Additionally, improving consistency in tone and depth of detail would create a more seamless and reliable user experience."",""surprisingLLMBehavior"":""Yes, I was positively surprised by how quickly the LLM generated well-structured and coherent responses, often exceeding my expectations in clarity and depth."",""feedbackProcessRating"":5,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""360"",""additionalComments"":""""}",
18,15A10CE6-4284-4162-9DF1-D45E718781AC,C2D21114-D0F9-4A7C-AB10-08DDE2F7DA60,They were interesting and each segment was unique and covered the different aspects well.,I felt it was quite close to Chatgpt or POE,"In particular, the storytelling part was helpful. As i have asked Chat gpt to write a short story but the response was average for me. The rest of the repsonses were satisfactory",No task was confusing,"Yes they were, as I use other LLMs on a daly basis, so the responses were similar","maybe it can be more elaborate or like Chat gpt, produce 2 different kinds of responses.",There was nothing too surprising,4,0,1,2025-08-24 12:32:20,0,1532,"{""participantId"":""c2d21114-d0f9-4a7c-ab10-08dde2f7da60"",""overallTaskThoughts"":""They were interesting and each segment was unique and covered the different aspects well. "",""llmExperienceDescription"":""I felt it was quite close to Chatgpt or POE"",""helpfulUnhelpfulMoments"":""In particular, the storytelling part was helpful. As i have asked Chat gpt to write a short story but the response was average for me. The rest of the repsonses were satisfactory"",""confusingOrUnrealisticTasks"":""No task was confusing"",""llmExpectationVariance"":""Yes they were, as I use other LLMs on a daly basis, so the responses were similar"",""suggestedImprovements"":""maybe it can be more elaborate or like Chat gpt, produce 2 different kinds of responses."",""surprisingLLMBehavior"":""There was nothing too surprising"",""feedbackProcessRating"":4,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""1532"",""additionalComments"":""""}",
19,9BD5B1F8-000E-4234-A618-00AA5FC8C4B2,A465027D-5C75-4B15-AB12-08DDE2F7DA60,I found the tasks overall doable.,"It was good experience. Since, LLM assistant make the task easy by breaking it in parts and providing explanations that I want.","AI specifically helpful while solving the puzzle task. However, I did not find it's response much helpful for the question regarding pros and cos of vaccination. However, this could be different for different users based on their prior knowledge.",None was find confusing.,"Overall, they were according to my expectation.",It would be good that LLM could back up it's responses with evidence and academic references where required.,None was surprising.,4,0,1,2025-08-24 12:22:41,0,901,"{""participantId"":""a465027d-5c75-4b15-ab12-08dde2f7da60"",""overallTaskThoughts"":""I found the tasks overall doable."",""llmExperienceDescription"":""It was good experience. Since, LLM assistant make the task easy by breaking it in parts and providing explanations that I want."",""helpfulUnhelpfulMoments"":""AI specifically helpful while solving the puzzle task. However, I did not find it's response much helpful for the question regarding pros and cos of vaccination. However, this could be different for different users based on their prior knowledge."",""confusingOrUnrealisticTasks"":""None was find confusing."",""llmExpectationVariance"":""Overall, they were according to my expectation."",""suggestedImprovements"":""It would be good that LLM could back up it's responses with evidence and academic references where required. "",""surprisingLLMBehavior"":""None was surprising."",""feedbackProcessRating"":4,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""901"",""additionalComments"":""""}",
20,60F894FE-F6C8-4A86-8339-CCF8C25F4BED,4C81CB89-FA90-4C2F-AB13-08DDE2F7DA60,Programming tasks need to be more enhanced.,To do literature review and studies.,Doing detailed research analysis.,None. Not confusing or unrealisitc.,Some were good some require improvement.,Need more training.,No there was not.,3,0,1,2025-08-24 12:25:14,0,359,"{""participantId"":""4c81cb89-fa90-4c2f-ab13-08dde2f7da60"",""overallTaskThoughts"":""Programming tasks need to be more enhanced."",""llmExperienceDescription"":""To do literature review and studies."",""helpfulUnhelpfulMoments"":""Doing detailed research analysis."",""confusingOrUnrealisticTasks"":""None. Not confusing or unrealisitc."",""llmExpectationVariance"":""Some were good some require improvement."",""suggestedImprovements"":""Need more training."",""surprisingLLMBehavior"":""No there was not."",""feedbackProcessRating"":3,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""359"",""additionalComments"":""""}",
21,9C23AFC7-A59C-4647-92C2-E9C5EE4AC5D8,0AE0E1B1-2A98-4F1F-B0C1-08DDE30D641E,Engaging and helpful to use AI,"Helpful, most answers were to the point just needed some more prompts to get the desirable output",It was definitely  helpful since it answered accurately,"Not really, all of them were engaging and we use them in daily life","Yes, answers were delivered accurately according to the requirements",More response suggestions,Positive could be that i mentioned for to the point answer so it skipped the details and gave 1 word answer.. Don’t know if it's relevant but yes,5,0,1,2025-08-24 13:22:56,0,624,"{""participantId"":""0ae0e1b1-2a98-4f1f-b0c1-08dde30d641e"",""overallTaskThoughts"":""Engaging and helpful to use AI "",""llmExperienceDescription"":""Helpful, most answers were to the point just needed some more prompts to get the desirable output"",""helpfulUnhelpfulMoments"":""It was definitely  helpful since it answered accurately "",""confusingOrUnrealisticTasks"":""Not really, all of them were engaging and we use them in daily life "",""llmExpectationVariance"":""Yes, answers were delivered accurately according to the requirements "",""suggestedImprovements"":""More response suggestions "",""surprisingLLMBehavior"":""Positive could be that i mentioned for to the point answer so it skipped the details and gave 1 word answer.. Don’t know if it's relevant but yes"",""feedbackProcessRating"":5,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""0"",""totalStudyTime"":""624"",""additionalComments"":""No""}",No
22,AF0CA4A9-B6B8-4103-A33E-683FE3BF075A,BB5F6196-1621-43A3-B0C2-08DDE30D641E,"The tasks were structured and distributed across different verticals, ranging from reasoning to summarization and logical analysis","Overall, the response was acceptable.","As noted earlier, logical accuracy requires more comprehensive testing data from low-level languages and stronger error handling. The LLM does not indicate when it is unable to handle certain tasks; instead, it simply repeats the last successful result","The model’s lexical range could be enhanced, given the redundancy in its generated phrasing.","Mostly, there were some instances of redundancy and default behaviour. But that can be improved to increase model accuracy.","The LLM’s usefulness can be improved by enabling clear error signaling instead of repeating outputs, strengthening support for low-level languages, enhancing lexical diversity to reduce repetition, improving context sensitivity to adapt when requirements shift, and incorporating basic self-checks to increase accuracy and reliability.","The LLM performed well in handling high-level tasks such as building recursive logic in Python and applying even/odd conditions, which was a positive surprise. However, it struggled when asked to convert the program into a batch script, repeatedly returning Python code instead of adapting to the new requirement. More concerning was its lack of transparency, as it did not signal its inability to complete the task, and its phrasing at times showed noticeable repetition, highlighting limits in lexical variety.",4,0,1,2025-08-24 14:05:05,775,2488,"{""participantId"":""bb5f6196-1621-43a3-b0c2-08dde30d641e"",""overallTaskThoughts"":""The tasks were structured and distributed across different verticals, ranging from reasoning to summarization and logical analysis"",""llmExperienceDescription"":""Overall, the response was acceptable."",""helpfulUnhelpfulMoments"":""As noted earlier, logical accuracy requires more comprehensive testing data from low-level languages and stronger error handling. The LLM does not indicate when it is unable to handle certain tasks; instead, it simply repeats the last successful result"",""confusingOrUnrealisticTasks"":""The model’s lexical range could be enhanced, given the redundancy in its generated phrasing."",""llmExpectationVariance"":""Mostly, there were some instances of redundancy and default behaviour. But that can be improved to increase model accuracy. "",""suggestedImprovements"":""The LLM’s usefulness can be improved by enabling clear error signaling instead of repeating outputs, strengthening support for low-level languages, enhancing lexical diversity to reduce repetition, improving context sensitivity to adapt when requirements shift, and incorporating basic self-checks to increase accuracy and reliability."",""surprisingLLMBehavior"":""The LLM performed well in handling high-level tasks such as building recursive logic in Python and applying even/odd conditions, which was a positive surprise. However, it struggled when asked to convert the program into a batch script, repeatedly returning Python code instead of adapting to the new requirement. More concerning was its lack of transparency, as it did not signal its inability to complete the task, and its phrasing at times showed noticeable repetition, highlighting limits in lexical variety."",""feedbackProcessRating"":4,""foundFeedbackRepetitive"":false,""foundFeedbackHelpful"":true,""surveyDuration"":""775"",""totalStudyTime"":""2488"",""additionalComments"":""""}",
